order_id,date,product,category,quantity,unit_price,total,customer_age,region,payment_method
1001,2025-01-05,Wireless Headphones,Electronics,2,49.99,99.98,28,North America,Credit Card
1002,2025-01-06,Running Shoes,Sportswear,1,129.99,129.99,34,Europe,PayPal
1003,2025-01-06,Organic Coffee Beans,Food & Beverage,3,18.50,55.50,41,North America,Debit Card
1004,2025-01-07,Yoga Mat,Sportswear,1,35.00,35.00,26,Asia,Credit Card
1005,2025-01-08,Laptop Stand,Electronics,1,79.99,79.99,31,North America,Credit Card
1006,2025-01-08,Protein Powder,Food & Beverage,2,42.00,84.00,29,Europe,PayPal
1007,2025-01-09,Smart Watch,Electronics,1,299.99,299.99,37,North America,Credit Card
1008,2025-01-10,Trail Running Shoes,Sportswear,1,159.99,159.99,45,Asia,Debit Card
1009,2025-01-10,Green Tea Set,Food & Beverage,1,24.99,24.99,52,Asia,Credit Card
1010,2025-01-11,Bluetooth Speaker,Electronics,3,39.99,119.97,23,Europe,PayPal
1011,2025-01-12,Dumbbells Set,Sportswear,1,89.99,89.99,33,North America,Credit Card
1012,2025-01-13,Dark Chocolate Box,Food & Beverage,5,12.99,64.95,47,Europe,Debit Card
1013,2025-01-14,USB-C Hub,Electronics,2,34.99,69.98,28,North America,Credit Card
1014,2025-01-15,Cycling Jersey,Sportswear,1,74.99,74.99,39,Asia,PayPal
1015,2025-01-16,Almond Butter,Food & Beverage,2,14.99,29.98,30,North America,Debit Card
1016,2025-01-17,Noise Cancelling Earbuds,Electronics,1,199.99,199.99,25,Europe,Credit Card
1017,2025-01-18,Resistance Bands,Sportswear,1,22.99,22.99,27,North America,PayPal
1018,2025-01-19,Matcha Powder,Food & Beverage,3,29.99,89.97,36,Asia,Credit Card
1019,2025-01-20,Mechanical Keyboard,Electronics,1,149.99,149.99,32,North America,Credit Card
1020,2025-01-21,Swimming Goggles,Sportswear,2,19.99,39.98,22,Europe,Debit Card
1021,2025-01-22,Cold Brew Coffee,Food & Beverage,4,8.99,35.96,29,North America,Credit Card
1022,2025-01-23,Portable Charger,Electronics,1,59.99,59.99,44,Asia,PayPal
1023,2025-01-24,Tennis Racket,Sportswear,1,189.99,189.99,38,Europe,Credit Card
1024,2025-01-25,Honey Jar,Food & Beverage,2,16.50,33.00,55,North America,Debit Card
1025,2025-01-26,Webcam HD,Electronics,1,89.99,89.99,27,North America,Credit Card
1026,2025-01-27,Compression Socks,Sportswear,3,15.99,47.97,42,Asia,PayPal
1027,2025-01-28,Olive Oil Premium,Food & Beverage,1,32.00,32.00,48,Europe,Credit Card
1028,2025-01-29,Monitor Light Bar,Electronics,1,44.99,44.99,35,North America,Credit Card
1029,2025-01-30,Boxing Gloves,Sportswear,1,64.99,64.99,31,North America,Debit Card
1030,2025-01-31,Coconut Water Pack,Food & Beverage,6,3.99,23.94,24,Asia,Credit Card
